Year,Month,State,Location,Food,Ingredient,Species,Genus,Status,Illnesses,Hospitalizations,Fatalities
2005,November,Colorado,,"Whole Milk, Unpasteurized",Milk,Campylobacter jejuni,Campylobacter,Confirmed,5,0,0
2005,May,Kansas,,"Whole Milk, Unpasteurized",,Campylobacter jejuni,Campylobacter,Confirmed,4,0,0
2005,May,Maryland,Restaurant,Caesar Salad,,Campylobacter jejuni,Campylobacter,Confirmed,4,0,0
2005,March,Wyoming,,"Other Milk, Unpasteurized",,Campylobacter jejuni,Campylobacter,Confirmed,3,0,0
2005,December,New York,Restaurant,Taro,Root (Eg. Potato),Chemical or toxin,Chemical,Confirmed,2,0,0
2005,March,Hawaii,Restaurant,"Fish, Roi",,Ciguatoxin,Ciguatoxin,Confirmed,6,2,0
2005,June,Illinois,Restaurant,"Fish, Grouper",,Ciguatoxin,Ciguatoxin,Confirmed,6,1,0
2005,July,Florida,Residence,Sphyraena Barracuda,,Ciguatoxin,Ciguatoxin,Confirmed,6,4,0
2005,January,Hawaii,Residence,"Fish, Papio",Fin Fish,Ciguatoxin,Ciguatoxin,Confirmed,4,0,0
2005,May,New York,Residence,"Fish, Baracuda",Fin Fish,Ciguatoxin,Ciguatoxin,Confirmed,4,1,0
2005,June,Hawaii,Residence,"Fish, Baracuda",,Ciguatoxin,Ciguatoxin,Confirmed,3,0,0
2005,September,Hawaii,Residence,"Fish, Palani (Surgeon)",,Ciguatoxin,Ciguatoxin,Confirmed,3,0,0
2005,June,Hawaii,Residence,"Fish, Amberjack",Fin Fish,Ciguatoxin,Ciguatoxin,Confirmed,2,0,0
2005,July,Hawaii,Residence,"Fish, Ulua, Unspecified",Fin Fish,Ciguatoxin,Ciguatoxin,Confirmed,2,0,0
2005,August,Hawaii,Residence,"Fish, Ulua",,Ciguatoxin,Ciguatoxin,Confirmed,2,0,0
2005,May,Wisconsin,Prison,"Chicken, Other",,Clostridium perfringens,Clostridium,Confirmed,104,0,0
2005,November,Iowa,Catering Service,"Sandwich, Red Meat-Based",Sauces/ Dressings,Clostridium perfringens,Clostridium,Confirmed,56,0,0
2005,July,South Carolina,Restaurant,"Chicken, Bbq",,Clostridium perfringens,Clostridium,Confirmed,27,2,0
2005,July,Wisconsin,Prison,"Gravy, Sausage",,Clostridium perfringens,Clostridium,Confirmed,24,0,0
2005,November,Ohio,School,Turkey Dishes,,Clostridium perfringens,Clostridium,Confirmed,21,0,0
2005,July,Oregon,Catering Service,"Chicken, Teriyaki",,Clostridium perfringens,Clostridium,Confirmed,19,0,0
2005,April,California,Residence,Other Food,,Clostridium perfringens,Clostridium,Confirmed,17,0,0
2005,April,Louisiana,Restaurant,"Barbecue Sauce; Beef, Brisket",,Clostridium perfringens,Clostridium,Confirmed,17,1,0
2005,June,Florida,Residence,"Pork, Roasted",,Clostridium perfringens,Clostridium,Confirmed,13,0,0
2005,March,Minnesota,Restaurant,"Refried Beans, Unspecified",,Clostridium perfringens,Clostridium,Confirmed,10,0,0
2005,June,Georgia,Hospital,"Gravy, Beef; Roast Beef, Other",Beef,Clostridium perfringens,Clostridium,Confirmed,10,0,0
2005,September,Pennsylvania,Restaurant,"Beef, Unspecified",,Clostridium perfringens,Clostridium,Confirmed,9,0,0
2005,August,Colorado,Grocery Store,"Beef, Other",,Clostridium perfringens,Clostridium,Confirmed,8,0,0
2005,November,New York,Restaurant,,,Clostridium perfringens,Clostridium,Confirmed,4,0,0
2005,November,New York,Residence,,,Clostridium perfringens,Clostridium,Confirmed,4,,
2005,February,Minnesota,Restaurant,"Steak, Prime Rib",,Clostridium perfringens,Clostridium,Confirmed,5,0,0
2005,February,New York,Restaurant,"Pork, Unspecified",Pork,Clostridium perfringens,Clostridium,Confirmed,5,0,0
2005,August,Alaska,Residence,"Salmon, Unspecified",,Clostridium botulinum,Clostridium,Confirmed,4,2,0
2005,August,Alaska,Residence,Salmon Heads,,Clostridium botulinum,Clostridium,Confirmed,4,2,0
2005,February,Washington,Restaurant,"Pork, Bbq",,Clostridium perfringens,Clostridium,Confirmed,3,0,0
2005,September,Ohio,Restaurant,"Steak, Other",,Clostridium perfringens,Clostridium,Confirmed,3,0,0
2005,July,New Jersey,,"Fish, Fermented Fish",,Clostridium botulinum,Clostridium,Confirmed,2,0,0
2005,November,California,Residence,"Salmon, Unspecified",,Clostridium botulinum,Clostridium,Confirmed,2,2,1
2005,March,Florida,Restaurant,"Basil, Unspecified",Spices,Cyclospora cayatenensis,Cyclospora,Confirmed,592,0,0
2005,April,Massachusetts,Banquet Facility,,,Cyclospora cayatenensis,Cyclospora,Confirmed,58,0,0
2005,June,Connecticut,Restaurant,Bruschetta; House Salad,Spices,Cyclospora cayatenensis,Cyclospora,Confirmed,30,1,0
2005,May,South Carolina,Restaurant,,,Cyclospora cayatenensis,Cyclospora,Confirmed,6,0,0
2005,October,Oregon,Restaurant,Other Food,,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,64,1,0
2005,April,Multistate,Residence,"Ground Beef, Hamburger",,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,60,11,0
2005,August,New York,Prison,,,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,52,3,0
2005,September,Multistate,,"Lettuce, Prepackaged",,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,34,12,0
2005,May,Illinois,Restaurant,,,"Escherichia (E. coli) coli, Enteropathogenic",Escherichia (E. coli),Confirmed,21,0,0
2005,April,Oregon,Restaurant,,,"Escherichia (E. coli) coli, Enteropathogenic",Escherichia (E. coli),Confirmed,18,0,0
2005,August,Ohio,Catering Service,Fruit Salad,,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,18,6,1
2005,November,Multistate,Residence,"Whole Milk, Unpasteurized",,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,18,5,0
2005,September,Washington,Assisted Living Facility,,,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,14,5,2
2005,October,Multistate,,"Lettuce, Prepackaged; Grapes, Green",,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,12,4,0
2005,October,Washington,Restaurant,Caesar Salad,,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,9,1,0
2005,January,Connecticut,Residence,"Ground Beef, Unspecified",Beef,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,7,3,0
2005,August,Georgia,Residence,"Ground Beef, Hamburger",Beef,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,6,1,0
2005,February,Alaska,Unknown,,,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,4,2,0
2005,September,Washington,Restaurant,"Parsley, Unspecified; House Salad",,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,4,2,0
2005,January,Arkansas,Residence,"Beef, Jerky",Beef,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,3,3,0
2005,May,Alaska,Unknown,,,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,3,1,0
2005,May,Washington,Restaurant,"Salsa, Unspecified",,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,3,1,0
2005,October,New York,Residence,"Ground Beef, Hamburger",Ground Beef,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,3,0,0
2005,January,New York,Residence,"Ground Beef, Hamburger",Beef,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,2,2,0
2005,September,Washington,Unknown,"Parsley, Unspecified; House Salad",,"Escherichia (E. coli) coli, Shiga toxin-producing",Escherichia (E. coli),Confirmed,2,2,0
2005,August,New York,Camp,Unspecified Vegetables,,Giardia intestinalis,Giardia,Confirmed,50,0,0
2005,July,New York,Residence,Ice Tea,Drink Mix,Heavy metals,Heavy,Confirmed,6,0,0
2005,November,Florida,Residence,Fish,,Heavy metals,Heavy,Confirmed,1,0,0
2005,November,Florida,Restaurant,Fish,,Heavy metals,Heavy,Confirmed,1,0,0
2005,August,Multistate,Restaurant,Raw Oysters,Raw Oysters,Hepatitis A,Hepatitis,Confirmed,39,3,0
2005,March,Tennessee,Restaurant,Tomato (See Fruit),,Hepatitis A,Hepatitis,Confirmed,23,9,0
2005,October,California,Restaurant,Unspecified Vegetables,,Hepatitis A,Hepatitis,Confirmed,16,2,0
2005,June,New York,Unknown,,,Hepatitis A,Hepatitis,Confirmed,9,3,0
2005,May,Tennessee,Restaurant,,,Hepatitis A,Hepatitis,Confirmed,7,0,0
2005,November,California,Restaurant,Unspecified Vegetables,"Vegetables, Unspecified",Hepatitis A,Hepatitis,Confirmed,5,0,0
2005,April,Pennsylvania,Unknown,"Fish, Escolar",,Histamine,Histamine,Confirmed,8,0,0
2005,June,Multistate,,"Deli Meat, Sliced Turkey",Turkey,Listeria monocytogenes,Listeria,Confirmed,13,13,1
2005,June,Texas,,"Queso Fresco, Unpasteurized",,Listeria monocytogenes,Listeria,Confirmed,12,12,0
2005,July,New York,Restaurant; Residence,,,Listeria monocytogenes,Listeria,Confirmed,6,6,0
2005,October,New York,Restaurant,"Chicken, Grilled",Chicken,Listeria monocytogenes,Listeria,Confirmed,1,1,0
2005,October,New York,Residence,"Chicken, Grilled",Chicken,Listeria monocytogenes,Listeria,Confirmed,1,1,0
2005,October,New York,Grocery Store,"Chicken, Grilled",Chicken,Listeria monocytogenes,Listeria,Confirmed,1,1,0
2005,October,New York,Residence,Mushrooms,Fungus,Mycotoxins,Mycotoxins,Confirmed,4,2,0
2005,July,Florida,Residence,"Clams, Steamed",,Neurotoxic shellfish poison,Neurotoxic,Confirmed,4,4,0
2005,April,Idaho,Restaurant,,,Norovirus unknown,Norovirus,Confirmed,250,0,0
2005,January,Georgia,,,,Norovirus genogroup I,Norovirus,Confirmed,200,0,0
2005,February,Pennsylvania,School,,,Norovirus unknown,Norovirus,Confirmed,150,0,0
2005,April,Maryland,,Mixed Fruit,,Norovirus genogroup II,Norovirus,Confirmed,148,0,0
2005,May,Michigan,Restaurant,"Sandwich, Deli",,Norovirus genogroup I,Norovirus,Confirmed,124,0,0
2005,July,Utah,Catering Service,Mixed Fruit; Green Salad,,Norovirus genogroup I,Norovirus,Confirmed,121,0,0
2005,October,Pennsylvania,,Potato Salad,Root (Eg. Potato); Sauces/ Dressings,Norovirus genogroup I,Norovirus,Confirmed,118,0,0
2005,May,Tennessee,School,,,Norovirus genogroup I,Norovirus,Confirmed,113,0,0
2005,November,Ohio,Banquet Facility,,,Norovirus genogroup I,Norovirus,Confirmed,110,0,0
2005,February,Utah,School,,,Norovirus unknown,Norovirus,Confirmed,91,0,0
2005,December,California,Restaurant; Banquet Facility,Multiple Foods,,Norovirus genogroup I,Norovirus,Confirmed,90,0,0
2005,February,Ohio,Banquet Facility,,,Norovirus genogroup I,Norovirus,Confirmed,86,0,0
2005,June,Georgia,Restaurant,Coleslaw,,Norovirus genogroup I,Norovirus,Confirmed,80,0,0
2005,December,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,76,0,0
2005,April,Massachusetts,School,,,Norovirus genogroup I,Norovirus,Confirmed,61,0,0
2005,February,Kansas,Hospital,,,Norovirus unknown,Norovirus,Confirmed,59,0,0
2005,April,California,Restaurant,"Salad, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,55,0,0
2005,May,Michigan,Residence,"Macaroni Salad; Roast Beef, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,55,0,0
2005,July,Kansas,Catering Service,Potato Salad,,Norovirus genogroup I,Norovirus,Confirmed,54,0,0
2005,September,North Carolina,Camp,,,Norovirus unknown,Norovirus,Confirmed,53,1,0
2005,April,Iowa,Restaurant,Fruit Salad,,Norovirus genogroup I,Norovirus,Confirmed,52,0,0
2005,May,North Dakota,School,"Lettuce, Unspecified; Ranch Dressing",,Norovirus genogroup I,Norovirus,Confirmed,52,0,0
2005,July,California,Assisted Living Facility,,,Norovirus genogroup I,Norovirus,Confirmed,52,0,0
2005,September,California,Catering Service,"Sandwich, Roast Beef",,Norovirus genogroup I,Norovirus,Confirmed,50,1,0
2005,October,Washington,,Raw Oysters,,Norovirus genogroup I,Norovirus,Confirmed,49,0,0
2005,November,Illinois,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,48,2,0
2005,December,Oregon,Unknown,,,Norovirus genogroup I,Norovirus,Confirmed,47,0,0
2005,January,Idaho,Restaurant,"Guacamole, Unspecified; Chips And Salsa",,Norovirus genogroup I,Norovirus,Confirmed,44,0,0
2005,October,Illinois,School,,,Norovirus genogroup I,Norovirus,Confirmed,43,0,0
2005,August,Georgia,,Strawberries,"Fruit, Unspecified",Norovirus genogroup I,Norovirus,Confirmed,40,0,0
2005,January,Oregon,Prison,,,Norovirus genogroup I,Norovirus,Confirmed,39,0,0
2005,April,Ohio,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,39,0,0
2005,September,Minnesota,Office,"Salad Bar; Sandwich, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,39,0,0
2005,February,North Carolina,Child Daycare,,,Norovirus genogroup I,Norovirus,Confirmed,38,1,0
2005,March,Michigan,Catering Service,,,Norovirus genogroup I,Norovirus,Confirmed,38,0,0
2005,April,Virginia,Restaurant,"Tomato, Unspecified; Lettuce, Unspecified; Burrito, Unspecified; Enchilada, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,38,0,0
2005,September,South Dakota,Banquet Facility,,,Norovirus unknown,Norovirus,Confirmed,35,0,0
2005,November,New Mexico,School,,,Norovirus unknown,Norovirus,Confirmed,35,0,0
2005,May,Oklahoma,Restaurant,,,Norovirus unknown,Norovirus,Confirmed,34,0,0
2005,July,Florida,Restaurant,Multiple Foods,,Norovirus genogroup I,Norovirus,Confirmed,33,0,0
2005,April,Alabama,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,32,0,0
2005,January,Oregon,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,31,1,0
2005,August,Illinois,School,,,Norovirus genogroup I,Norovirus,Confirmed,31,0,0
2005,June,Michigan,Residence; Grocery Store; School,Unspecified Beverage,,Norovirus unknown,Norovirus,Confirmed,31,0,0
2005,March,Minnesota,Catering Service,"Salad, Unspecified",Leafy Green,Norovirus genogroup I,Norovirus,Confirmed,30,0,0
2005,June,Iowa,Restaurant; Residence,,,Norovirus genogroup I,Norovirus,Confirmed,30,0,0
2005,August,Michigan,,,,Norovirus genogroup I,Norovirus,Confirmed,30,0,0
2005,August,Michigan,,,,Norovirus genogroup I,Norovirus,Confirmed,30,0,0
2005,May,Arizona,Catering Service,,,Norovirus genogroup II,Norovirus,Confirmed,30,0,0
2005,June,Michigan,Residence,,,Norovirus genogroup I,Norovirus,Confirmed,29,0,0
2005,February,Minnesota,Restaurant,"Pudding, Bread; Lettuce-Based Salads Unspecified; Pasta-Based Salads Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,28,2,0
2005,March,Virginia,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,28,0,0
2005,November,North Carolina,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,27,0,0
2005,December,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,27,0,0
2005,April,South Carolina,Catering Service,"Dips, Unspecified",,Norovirus unknown,Norovirus,Confirmed,27,3,0
2005,February,Oregon,Catering Service,,,Norovirus genogroup I,Norovirus,Confirmed,26,0,0
2005,July,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,26,0,0
2005,September,Pennsylvania,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,26,0,0
2005,December,Ohio,Restaurant,"Pork, Roasted",,Norovirus genogroup I,Norovirus,Confirmed,26,0,0
2005,April,Oregon,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,25,0,0
2005,July,Wisconsin,Catering Service,"Pork, Roasted",,Norovirus genogroup I,Norovirus,Confirmed,25,2,0
2005,May,Illinois,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,24,0,0
2005,October,California,Restaurant; Catering Service,,,Norovirus genogroup II,Norovirus,Confirmed,24,0,0
2005,March,Illinois,Office,Vegetable-Based Salads Unspecified,,Norovirus genogroup I,Norovirus,Confirmed,23,0,0
2005,June,Hawaii,School,,,Norovirus genogroup I,Norovirus,Confirmed,23,0,0
2005,June,Minnesota,Restaurant; Residence,"Sandwich, Deli",,Norovirus genogroup I,Norovirus,Confirmed,23,0,0
2005,March,Tennessee,Restaurant,"House Salad; Pasta-Based Salads Unspecified; Meat/Egg-Based Salads, Unspecified",,Norovirus genogroup II,Norovirus,Confirmed,23,1,0
2005,December,Connecticut,Banquet Facility,"Steak, Prime Rib",,Norovirus genogroup II,Norovirus,Confirmed,23,1,0
2005,June,South Carolina,Restaurant,,,Norovirus unknown,Norovirus,Confirmed,23,0,0
2005,February,Connecticut,Restaurant,"Chicken, Marsala",,Norovirus genogroup I,Norovirus,Confirmed,22,0,0
2005,June,Wisconsin,Residence,Taco Dip,,Norovirus genogroup I,Norovirus,Confirmed,22,0,0
2005,June,Wisconsin,Residence,Taco Dip,,Norovirus genogroup I,Norovirus,Confirmed,22,0,0
2005,September,Georgia,Residence,"Taco Dip; Grapes, Unspecified","Fruit, Unspecified",Norovirus genogroup I,Norovirus,Confirmed,22,0,0
2005,October,California,Restaurant,"Burrito, Cheese",,Norovirus genogroup I,Norovirus,Confirmed,22,0,0
2005,August,Minnesota,Catering Service,"Soda, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,21,0,0
2005,January,Maryland,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,20,0,0
2005,January,Minnesota,Restaurant,"Sandwich, Roast Beef",,Norovirus genogroup I,Norovirus,Confirmed,20,0,0
2005,March,Illinois,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,20,0,0
2005,March,Washington,Catering Service,"Dips, Unspecified; Strawberries; Melon, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,20,0,0
2005,May,Illinois,Restaurant,"Gravy, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,20,0,0
2005,December,North Carolina,Residence,,,Norovirus unknown,Norovirus,Confirmed,20,0,0
2005,March,North Carolina,,,,Norovirus genogroup I,Norovirus,Confirmed,19,3,0
2005,June,Hawaii,,,,Norovirus genogroup I,Norovirus,Confirmed,19,0,0
2005,March,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,18,0,0
2005,May,Tennessee,Residence,Multiple Foods,,Norovirus genogroup I,Norovirus,Confirmed,18,0,0
2005,July,Idaho,Camp,Watermelon,,Norovirus genogroup I,Norovirus,Confirmed,18,0,0
2005,March,California,,Raw Oysters,,Norovirus genogroup I,Norovirus,Confirmed,17,0,0
2005,September,Colorado,Catering Service,"Tomato, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,17,0,0
2005,September,Idaho,Restaurant,"Refried Beans, Unspecified",Rice,Norovirus genogroup I,Norovirus,Confirmed,17,0,0
2005,February,Massachusetts,Restaurant,"Sandwich, Beef; Sandwich, Tuna Fish; Sandwich, Deli; House Salad",,Norovirus genogroup I,Norovirus,Confirmed,16,0,0
2005,October,California,Restaurant,"Cake, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,16,0,0
2005,December,Tennessee,Catering Service,,,Norovirus genogroup I,Norovirus,Confirmed,16,0,0
2005,April,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,15,0,0
2005,June,Oregon,Residence,Potato Salad,,Norovirus genogroup I,Norovirus,Confirmed,15,1,0
2005,December,Hawaii,,,,Norovirus genogroup I,Norovirus,Confirmed,15,2,0
2005,January,Florida,Restaurant,Speciality Salads Unspecified,,Norovirus genogroup II,Norovirus,Confirmed,15,0,0
2005,February,Delaware,Restaurant,,,Norovirus genogroup II,Norovirus,Confirmed,15,0,0
2005,July,Utah,,"Sandwich, Other",,Norovirus genogroup II,Norovirus,Confirmed,15,0,0
2005,September,North Carolina,,"Squash, Unspecified",,Norovirus unknown,Norovirus,Confirmed,15,0,0
2005,April,Virginia,Restaurant,"Chicken Salad; Potato Salad; Coleslaw; Tomato, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,14,0,0
2005,May,California,Catering Service,Ranch Dressing,,Norovirus genogroup I,Norovirus,Confirmed,14,0,0
2005,May,Florida,Restaurant,"Mayonnaise, Unspecified; Lettuce, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,14,0,0
2005,June,Minnesota,Restaurant,Spinach Dip,,Norovirus genogroup I,Norovirus,Confirmed,14,0,0
2005,November,Ohio,School,"Lettuce, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,14,0,0
2005,December,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,14,0,0
2005,March,Maryland,Restaurant,,,Norovirus genogroup II,Norovirus,Confirmed,14,0,0
2005,March,Minnesota,Restaurant,"Sandwich, Wrap",,Norovirus genogroup I,Norovirus,Confirmed,13,0,0
2005,November,Wisconsin,Restaurant,Breads,,Norovirus genogroup I,Norovirus,Confirmed,13,0,0
2005,October,Oregon,Restaurant,Guacamole,,Norovirus unknown,Norovirus,Confirmed,13,0,0
2005,January,Ohio,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,12,0,0
2005,January,Ohio,Restaurant,"Sandwich, Submarine",,Norovirus genogroup I,Norovirus,Confirmed,12,0,0
2005,March,Connecticut,Catering Service,Multiple Foods,,Norovirus genogroup I,Norovirus,Confirmed,12,0,0
2005,August,Maryland,Restaurant,,,Norovirus genogroup II,Norovirus,Confirmed,12,0,0
2005,September,South Carolina,Restaurant,,,Norovirus unknown,Norovirus,Confirmed,12,1,0
2005,November,California,Residence,,,Norovirus genogroup I,Norovirus,Confirmed,11,0,0
2005,November,Tennessee,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,11,0,0
2005,November,Connecticut,Office,"Potato Chips; Cookies, Unspecified",,Norovirus unknown,Norovirus,Confirmed,11,0,0
2005,April,Connecticut,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,10,0,0
2005,May,Ohio,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,10,0,0
2005,September,North Carolina,School,,,Norovirus unknown,Norovirus,Confirmed,10,0,0
2005,January,Connecticut,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,9,0,0
2005,February,North Carolina,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,9,0,0
2005,March,Oregon,Restaurant,Sour Cream,,Norovirus genogroup I,Norovirus,Confirmed,9,0,0
2005,April,Maryland,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,9,1,0
2005,April,New York,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,9,0,0
2005,November,Ohio,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,9,0,0
2005,December,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,9,0,0
2005,March,Michigan,Restaurant,,,Norovirus unknown,Norovirus,Confirmed,9,0,0
2005,January,Ohio,Restaurant,"Chicken, Other",,Norovirus genogroup I,Norovirus,Confirmed,8,0,0
2005,May,Minnesota,Restaurant,,,Norovirus genogroup I,Norovirus,Confirmed,8,0,0
2005,June,Minnesota,Catering Service,"Broccoli Salad; Cake, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,8,0,0
2005,December,Connecticut,Restaurant,,,Norovirus genogroup II,Norovirus,Confirmed,8,0,0
2005,December,Maryland,Restaurant,,,Norovirus genogroup II,Norovirus,Confirmed,8,0,0
2005,February,North Carolina,Restaurant; Residence,,,Norovirus unknown,Norovirus,Confirmed,8,0,0
2005,January,Florida,Restaurant,Raw Oysters; Key Lime Pie,,Norovirus genogroup I,Norovirus,Confirmed,7,0,0
2005,February,California,,"Tart, Fruit",,Norovirus genogroup I,Norovirus,Confirmed,7,0,0
2005,March,Ohio,Restaurant,"Pizza, Vegetable; Caesar Salad",,Norovirus genogroup I,Norovirus,Confirmed,7,1,0
2005,April,Oregon,Residence,"Pudding, Unspecified",,Norovirus genogroup I,Norovirus,Confirmed,7,1,0
2005,May,California,,,,Norovirus genogroup I,Norovirus,Confirmed,7,0,0
2005,June,Oregon,Residence,,,Norovirus genogroup I,Norovirus,Confirmed,7,0,0
2005,August,Colorado,Restaurant,"Pasta, Unspecified",Chicken,Norovirus genogroup I,Norovirus,Confirmed,7,1,0
2005,March,Connecticut,Catering Service,"Deli Meat, Sliced Turkey",,Norovirus genogroup I,Norovirus,Confirmed,6,0,0
2005,April,Ohio,Restaurant,"Ice Cream, Commercial",,Norovirus genogroup I,Norovirus,Confirmed,6,0,0
2005,May,California,Grocery Store,"Pie, Banana",,Norovirus genogroup I,Norovirus,Confirmed,6,0,0
